Sample_name	File_name	Target	Replicates
TCGA-C5-A7CG-01A-11R-A32P-07		CESC (TCGA)	
TCGA-EX-A8YF-01A-11R-A37O-07		CESC (TCGA)	
TCGA-FU-A3TQ-01A-11R-A22U-07		CESC (TCGA)	
TCGA-MA-AA3Z-01A-11R-A38B-07		CESC (TCGA)	
TCGA-UC-A7PG-06A-11R-A42S-07		CESC (TCGA)	
TCGA-VS-A8EI-01A-11R-A37O-07		CESC (TCGA)	
TCGA-VS-A8EL-01A-11R-A37O-07		CESC (TCGA)	
TCGA-JW-A5VG-01A-11R-A28H-07		CESC (TCGA)	
TCGA-Q1-A5R3-01A-11R-A28H-07		CESC (TCGA)	
TCGA-EX-A1H5-01A-31R-A13Y-07		CESC (TCGA)	
TCGA-C5-A1MI-01A-11R-A14Y-07		CESC (TCGA)	
TCGA-IR-A3L7-01A-21R-A213-07		CESC (TCGA)	
TCGA-C5-A907-01A-11R-A37O-07		CESC (TCGA)	
TCGA-C5-A1MP-01A-11R-A14Y-07		CESC (TCGA)	
TCGA-C5-A1BN-01B-11R-A14Y-07		CESC (TCGA)	
TCGA-EA-A44S-01A-12R-A26T-07		CESC (TCGA)	
TCGA-C5-A8XJ-01A-11R-A37O-07		CESC (TCGA)	
TCGA-C5-A1M6-01A-11R-A13Y-07		CESC (TCGA)	
TCGA-VS-A957-01A-11R-A42T-07		CESC (TCGA)	
TCGA-EK-A2PG-01A-11R-A18M-07		CESC (TCGA)	
TCGA-HM-A3JK-01A-11R-A32Y-07		CESC (TCGA)	
TCGA-VS-A8EH-01A-11R-A36F-07		CESC (TCGA)	
TCGA-DG-A2KK-01A-11R-A180-07		CESC (TCGA)	
TCGA-VS-A94X-01A-11R-A38B-07		CESC (TCGA)	
TCGA-FU-A3WB-01A-11R-A22U-07		CESC (TCGA)	
TCGA-MA-AA42-01A-12R-A38B-07		CESC (TCGA)	
TCGA-VS-AA62-01A-11R-A42T-07		CESC (TCGA)	
TCGA-VS-A950-01A-11R-A42T-07		CESC (TCGA)	
TCGA-C5-A1BI-01B-11R-A13Y-07		CESC (TCGA)	
TCGA-MY-A5BE-01A-21R-A26T-07		CESC (TCGA)	
TCGA-DS-A1OB-01A-11R-A14Y-07		CESC (TCGA)	
TCGA-EA-A3HT-01A-61R-A21T-07		CESC (TCGA)	
TCGA-VS-A9UM-01A-11R-A42T-07		CESC (TCGA)	
TCGA-Q1-A5R2-01A-11R-A28H-07		CESC (TCGA)	
TCGA-EA-A78R-01A-11R-A32P-07		CESC (TCGA)	
TCGA-MA-AA3W-01A-11R-A38B-07		CESC (TCGA)	
TCGA-EA-A5ZD-01A-11R-A28H-07		CESC (TCGA)	
TCGA-EA-A5O9-01A-11R-A28H-07		CESC (TCGA)	
TCGA-VS-A8QC-01A-11R-A37O-07		CESC (TCGA)	
TCGA-C5-A1M5-01A-11R-A13Y-07		CESC (TCGA)	
TCGA-C5-A1ML-01A-11R-A14Y-07		CESC (TCGA)	
TCGA-VS-A8EK-01A-12R-A37O-07		CESC (TCGA)	
TCGA-EK-A2RC-01A-11R-A18M-07		CESC (TCGA)	
TCGA-VS-A9U7-01A-11R-A42T-07		CESC (TCGA)	
TCGA-C5-A1M8-01A-21R-A13Y-07		CESC (TCGA)	
TCGA-VS-A8EC-01A-11R-A36F-07		CESC (TCGA)	
TCGA-C5-A7UH-01A-11R-A352-07		CESC (TCGA)	
TCGA-JW-A5VL-01A-11R-A28H-07		CESC (TCGA)	
TCGA-VS-A954-01A-11R-A38B-07		CESC (TCGA)	
TCGA-VS-A9UI-01A-11R-A42T-07		CESC (TCGA)	
TCGA-C5-A902-01A-11R-A37O-07		CESC (TCGA)	
TCGA-VS-A94Y-01A-11R-A38B-07		CESC (TCGA)	
TCGA-JW-A852-01A-11R-A352-07		CESC (TCGA)	
