Sample_name	File_name	Target	Replicates
TCGA-GD-A6C6-01A-21R-A31N-07		BLCA (TCGA)	
TCGA-GV-A6ZA-01A-12R-A33J-07		BLCA (TCGA)	
TCGA-G2-A3IE-01A-11R-A20F-07		BLCA (TCGA)	
TCGA-GC-A6I3-01A-11R-A31N-07		BLCA (TCGA)	
TCGA-E7-A541-01A-11R-A26T-07		BLCA (TCGA)	
TCGA-XF-AAN7-01A-11R-A42T-07		BLCA (TCGA)	
TCGA-CF-A47T-01A-11R-A23W-07		BLCA (TCGA)	
TCGA-2F-A9KQ-01A-11R-A38B-07		BLCA (TCGA)	
TCGA-GD-A3OQ-01A-32R-A220-07		BLCA (TCGA)	
TCGA-CU-A0YN-01A-21R-A10U-07		BLCA (TCGA)	
TCGA-K4-A3WU-01B-11R-A23N-07		BLCA (TCGA)	
TCGA-ZF-A9R9-01A-11R-A38B-07		BLCA (TCGA)	
TCGA-XF-A8HH-01A-11R-A38B-07		BLCA (TCGA)	
TCGA-ZF-A9RE-01A-11R-A38B-07		BLCA (TCGA)	
TCGA-DK-A1A7-01A-11R-A13Y-07		BLCA (TCGA)	
TCGA-XF-A9T8-01A-11R-A39I-07		BLCA (TCGA)	
TCGA-GU-A766-01A-11R-A32O-07		BLCA (TCGA)	
TCGA-HQ-A2OE-01A-11R-A206-07		BLCA (TCGA)	
TCGA-5N-A9KM-01A-11R-A42T-07		BLCA (TCGA)	
TCGA-K4-A3WV-11A-21R-A22U-07		BLCA (TCGA)	
TCGA-LC-A66R-01A-41R-A30C-07		BLCA (TCGA)	
TCGA-ZF-A9RM-01A-11R-A38B-07		BLCA (TCGA)	
TCGA-BL-A13I-01A-11R-A13Y-07		BLCA (TCGA)	
TCGA-GC-A3RC-01A-11R-A22U-07		BLCA (TCGA)	
TCGA-CF-A5U8-01A-11R-A28M-07		BLCA (TCGA)	
TCGA-CU-A0YR-01A-12R-A10U-07		BLCA (TCGA)	
TCGA-DK-A1AB-01A-11R-A13Y-07		BLCA (TCGA)	
TCGA-E7-A5KE-01A-11R-A28M-07		BLCA (TCGA)	
TCGA-UY-A78O-01A-12R-A33J-07		BLCA (TCGA)	
TCGA-5N-A9KI-01A-31R-A42T-07		BLCA (TCGA)	
TCGA-CF-A3MI-01A-11R-A20F-07		BLCA (TCGA)	
TCGA-XF-AAMJ-01A-11R-A42T-07		BLCA (TCGA)	
TCGA-BT-A0YX-01A-11R-A10U-07		BLCA (TCGA)	
TCGA-E7-A519-01A-11R-A26T-07		BLCA (TCGA)	
TCGA-XF-A9SZ-01A-11R-A39I-07		BLCA (TCGA)	
TCGA-XF-A9SJ-01A-11R-A39I-07		BLCA (TCGA)	
TCGA-GC-A6I3-11A-11R-A31N-07		BLCA (TCGA)	
TCGA-XF-A9SY-01A-21R-A42T-07		BLCA (TCGA)	
TCGA-C4-A0EZ-01A-21R-A24X-07		BLCA (TCGA)	
TCGA-XF-AAMT-01A-11R-A42T-07		BLCA (TCGA)	
TCGA-CF-A27C-01A-11R-A16R-07		BLCA (TCGA)	
TCGA-E7-A3Y1-01A-11R-A22U-07		BLCA (TCGA)	
TCGA-CF-A3MF-01A-12R-A21D-07		BLCA (TCGA)	
TCGA-XF-AAMW-01A-11R-A42T-07		BLCA (TCGA)	
TCGA-BL-A3JM-01A-12R-A21D-07		BLCA (TCGA)	
TCGA-XF-A8HE-01A-11R-A36F-07		BLCA (TCGA)	
TCGA-ZF-A9R2-01A-11R-A39I-07		BLCA (TCGA)	
TCGA-CF-A47X-01A-31R-A23W-07		BLCA (TCGA)	
TCGA-XF-A9T3-01A-11R-A42T-07		BLCA (TCGA)	
TCGA-DK-A3IM-01A-11R-A20F-07		BLCA (TCGA)	
TCGA-GC-A3RB-01A-12R-A220-07		BLCA (TCGA)	
TCGA-XF-A9T6-01A-11R-A42T-07		BLCA (TCGA)	
TCGA-XF-A8HC-01A-11R-A36F-07		BLCA (TCGA)	
TCGA-CU-A3YL-01A-11R-A22U-07		BLCA (TCGA)	
TCGA-GU-A762-01A-11R-A33J-07		BLCA (TCGA)	
TCGA-ZF-A9R3-01A-11R-A38B-07		BLCA (TCGA)	
TCGA-KQ-A41R-01A-21R-A352-07		BLCA (TCGA)	
TCGA-ZF-A9R5-01A-12R-A42T-07		BLCA (TCGA)	
TCGA-CF-A47S-01A-11R-A23W-07		BLCA (TCGA)	
TCGA-E7-A677-01A-11R-A30C-07		BLCA (TCGA)	
TCGA-DK-A1A3-01A-11R-A13Y-07		BLCA (TCGA)	
TCGA-E7-A85H-01A-11R-A352-07		BLCA (TCGA)	
TCGA-GU-AATO-01A-11R-A39I-07		BLCA (TCGA)	
TCGA-4Z-AA87-01A-11R-A39I-07		BLCA (TCGA)	
TCGA-FJ-A3Z7-01A-12R-A23N-07		BLCA (TCGA)	
TCGA-XF-A9SX-01A-21R-A39I-07		BLCA (TCGA)	
TCGA-GC-A3WC-11A-11R-A22U-07		BLCA (TCGA)	
TCGA-G2-AA3F-01A-12R-A42T-07		BLCA (TCGA)	
TCGA-XF-A9ST-01A-11R-A42T-07		BLCA (TCGA)	
TCGA-E7-A6MF-01A-12R-A32O-07		BLCA (TCGA)	
TCGA-ZF-AA4V-01A-11R-A38B-07		BLCA (TCGA)	
TCGA-XF-A9SK-01A-11R-A42T-07		BLCA (TCGA)	
TCGA-ZF-AA4T-01A-11R-A38B-07		BLCA (TCGA)	
TCGA-G2-A2EJ-01A-11R-A180-07		BLCA (TCGA)	
TCGA-LT-A5Z6-01A-11R-A28M-07		BLCA (TCGA)	
TCGA-LT-A8JT-01A-11R-A36F-07		BLCA (TCGA)	
TCGA-XF-A9T4-01A-11R-A39I-07		BLCA (TCGA)	
TCGA-GD-A3OS-01A-12R-A220-07		BLCA (TCGA)	
TCGA-E7-A678-01A-11R-A30C-07		BLCA (TCGA)	
TCGA-XF-AAMH-01A-11R-A42T-07		BLCA (TCGA)	
TCGA-C4-A0F7-01A-11R-A084-07		BLCA (TCGA)	
TCGA-E7-A97Q-01A-11R-A38B-07		BLCA (TCGA)	
TCGA-ZF-AA5H-01A-11R-A39I-07		BLCA (TCGA)	
TCGA-GU-A42Q-01A-11R-A23W-07		BLCA (TCGA)	
TCGA-UY-A8OB-01A-12R-A42T-07		BLCA (TCGA)	
